ID,이름,카테고리,등급,Lv,주요스탯,특수 효과,획득처
1951,살아있는 검,성장형 장비,D,1,,"성장: 1000회 처치마다 등급 상승, 최대등급: SS",연금술사의 탑
2951,상처입은 갑옷,성장형 장비,D,1,,"성장: 50000 피해 누적마다 등급 상승, 최대등급: S",전장의 유물
1701,운명의 주사위 검,운명의 장비,B~SS,1~50,ATK:30~200,공격 시 데미지 ±30% 랜덤,운명의 사원
1901,슬라임 베인,특화 장비,D,5,ATK:8,슬라임 종족에게 +500%,슬라임 동굴
1953,전투 학습 장갑,성장형 장비,D,5,,"성장: 10000 데미지 누적마다 등급 상승, 최대등급: S",수련의 전당
2952,치유받은 로브,성장형 장비,D,5,,"성장: 100000 회복량 누적마다 등급 상승, 최대등급: A",치유사 길드
3505,축복받은 십자가,고대 유물,A,5,,"신성 데미지 +30%, 언데드 피해 -30%",성스러운 대성당 (비밀)
1702,도박사의 단검,운명의 장비,C~S,5~40,ATK:20~120,"치명타 확률 0~50% 랜덤, 매 전투 변경",카지노 던전
2701,점술사의 로브,운명의 장비,B~S,5~35,HP:100~400,회피 10~30% 랜덤 (전투마다 변경),점술사의 탑
3501,현자의 반지,고대 유물,A,8,,"AP_Attack +25, 모든 스킬 쿨타임 -15%",고대 도서관
1504,요정의 비수,고대 유물,S,8,ATK:25,"회피 +25%, 속도 +30, 독 면역",요정의 숲 (히든)
1902,고블린 사냥꾼의 칼,특화 장비,D,10,ATK:15,고블린 종족에게 +400%,고블린 동굴
1952,영혼 수집 낫,성장형 장비,C,10,,"성장: 보스 100회 처치마다 등급 상승, 최대등급: SSS",사신의 영역
1501,잃어버린 왕국의 단검,고대 유물,A,10,ATK:40,"치명타 +20%, 은신 시 +50% 데미지",비밀 던전 발견
2504,요정의 날개 망토,고대 유물,S,10,"HP:100, AD_DEF:8, AP_DEF:35","회피 +30%, 비행 (지형 효과 무시)",요정의 숲 (히든)
1703,변덕스러운 마법봉,운명의 장비,B~S,10~35,ATK:40~150,랜덤 속성 부여 (매 공격 변경),혼돈의 균열
2702,도박꾼의 조끼,운명의 장비,C~A,10~45,HP:150~500,피격 시 50% 확률로 피해 2배 또는 0,카지노 던전
1503,잠든 용의 이빨,고대 유물,A,12,ATK:55,"드래곤 종족 +100%, 화염 저항 +20%",용의 묘지
3504,암살자의 귀걸이,고대 유물,A,12,,"치명타 데미지 +40%, 은신 지속 +2턴",암살자 길드
2502,별의 로브,고대 유물,S,12,"HP:150, AD_DEF:15, AP_DEF:45","마법 피해 -25%, 별빛 아래 HP 5%/턴 회복",별의 관측소
2901,화염 저항 망토,특화 장비,D,15,HP:80,"화염 면역, 다른 속성 취약 +30%",화염 던전 입구
2902,냉기 저항 코트,특화 장비,D,15,HP:80,"냉기 면역, 다른 속성 취약 +30%",냉기 던전 입구
2903,번개 저항 장갑,특화 장비,D,15,HP:60,"번개 면역, 다른 속성 취약 +30%",번개 던전 입구
1801,신앙의 검,조건부 장비,C,15,ATK:28,"조건: 신성 스킬 3개 이상 장착 | A등급으로 상승, 신성 +50%",성스러운 대성당
1802,어둠을 삼킨 검,조건부 장비,C,15,ATK:28,"조건: 암흑 스킬 3개 이상 장착 | A등급으로 상승, 암흑 +50%",어둠의 묘지
2501,고대 수호자의 투구,고대 유물,A,15,"HP:180, AD_DEF:28, AP_DEF:25","CC 지속 -40%, 정신계 면역",수호자의 무덤
1502,고대 사제의 홀,고대 유물,S,15,ATK:30,"신성 스킬 +40%, 언데드 특효 +80%",봉인된 제단
3502,용의 눈 목걸이,고대 유물,S,15,,"치명타 +15%, 드래곤 종족 탐지, 드래곤 저항 +25%",용의 둥지 (비밀 방)
1704,미래를 보는 검,운명의 장비,A~SS,15~45,ATK:60~180,30% 확률로 적 다음 행동 예측,시간의 균열
2505,은빛 늑대 가죽 갑옷,고대 유물,A,18,"HP:220, AD_DEF:32, AP_DEF:22","속도 +25, 야간 시야 확보",은빛 늑대 소굴
1507,시간의 파편 단검,고대 유물,S,18,ATK:45,"25% 확률 추가 턴, 쿨타임 -20%",시간의 균열 (저레벨)
1805,분노의 도끼,조건부 장비,C,20,ATK:45,"조건: HP 30% 이하 | S등급으로 상승, 공격력 2배",광전사의 무덤
2801,달의 갑옷,조건부 장비,C,20,HP:180,"조건: 야간 전투 시 | A등급으로 상승, 모든 방어 +50%",달의 신전
2802,태양의 갑옷,조건부 장비,C,20,HP:180,"조건: 주간 전투 시 | A등급으로 상승, 공격력 +30%",태양의 신전
1905,성스러운 퇴마검,특화 장비,B,20,ATK:30,"언데드/악마에게 +250%, 정화 효과",성스러운 대성당
1505,달빛 검,고대 유물,A,20,ATK:65,야간 전투 시 모든 스탯 +25%,달의 신전
2503,고대 드워프 갑옷,고대 유물,A,20,"HP:280, AD_DEF:40, AP_DEF:20","물리 피해 -20%, 넉백 면역",드워프 폐광
3503,시간의 모래시계,고대 유물,S,20,,"전투 시작 시 2턴 선공, 버프 지속 +50%",시간의 균열
3506,어둠의 심장,고대 유물,SS,22,,"흡혈 +20%, 암흑 스킬 +35%, 신성에 취약 +30%",암흑의 심연
2804,희생자의 로브,조건부 장비,D,25,HP:150,"조건: 아군 대신 피격 시 | S등급으로 상승, 피해 -80%",순교자의 묘지
1903,뱀파이어 킬러,특화 장비,C,25,ATK:35,"흡혈귀에게 +300%, 흡혈 효과 무효화",뱀파이어 성
1803,균형의 지팡이,조건부 장비,B,25,ATK:50,"조건: 공격/방어 스킬 5:5 | S등급으로 상승, 모든 효과 +30%",균형의 신전
1506,저주받은 왕의 검,고대 유물,SS,25,ATK:95,"흡혈 +25%, HP -10%/턴, 처치 시 HP 30% 회복",저주받은 왕의 무덤
2506,잠든 거인의 건틀릿,고대 유물,SS,25,"HP:200, AD_DEF:55, AP_DEF:35","공격력 +30%, 기절 확률 +15%",거인의 무덤
1907,정령 사냥꾼의 활,특화 장비,C,28,ATK:38,"정령에게 +350%, 속성 저항 무시",정령의 숲
1804,고독한 전사의 검,조건부 장비,D,30,ATK:40,"조건: 솔로 플레이 시 | A등급으로 상승, 모든 스탯 +40%",고독한 봉우리
1904,마녀 사냥꾼의 검,특화 장비,C,30,ATK:40,"마법사형 적에게 +200%, 마법 저항 +30%",마녀의 숲
1508,잊혀진 영웅의 검,고대 유물,SS,30,ATK:110,"모든 스탯 +10%, 처치 시 버프 1개 획득",영웅의 묘지
1806,수호자의 방패검,조건부 장비,D,35,ATK:35,"조건: 파티원 보호 시 | A등급으로 상승, 방어력 3배",수호기사단
1906,드래곤 베인,특화 장비,B,35,ATK:55,"드래곤에게 +300%, 브레스 피해 -50%",드래곤 사냥꾼 길드
1601,정제된 강철검,대장장이 특제품,D,40,ATK:75,"내구도 2배, 수리비 -50%",마스터 대장장이
2803,시련의 갑옷,조건부 장비,D,40,HP:250,"조건: HP 50% 이하 유지 5턴 | SS등급으로 상승, 무적 3턴",시련의 탑
2601,두꺼운 가죽 갑옷,대장장이 특제품,D,45,"HP:350, AD_DEF:35, AP_DEF:20","가시 피해 5, 내구도 3배",가죽 공방
1603,광부의 곡괭이,대장장이 특제품,C,45,ATK:65,"광물 드롭 +30%, 암석 몬스터 +20%",광산 마을 상점
1908,기계 파괴자,특화 장비,C,45,ATK:70,"기계/골렘에게 +400%, 방어 무시",고대 공장 유적
1602,견습 기사의 연습검,대장장이 특제품,D,50,ATK:90,"경험치 +15%, 훈련용",기사단 훈련장
2603,광부 안전모,대장장이 특제품,C,50,"HP:300, AD_DEF:40, AP_DEF:25","낙석 피해 면역, 어둠 시야 확보",광산 마을 상점
2904,완전 속성 갑옷,특화 장비,A,50,HP:400,"모든 속성 저항 +60%, 물리 피해 +40%",원소의 제단
2602,기사단 훈련복,대장장이 특제품,D,55,"HP:450, AD_DEF:45, AP_DEF:30","경험치 +10%, 훈련 던전 전용 버프",기사단 훈련장
1604,사냥꾼의 작살,대장장이 특제품,C,55,ATK:100,"짐승 종족 +25%, 가죽 드롭 +20%",사냥꾼 마을
1605,실용주의 철퇴,대장장이 특제품,D,60,ATK:110,"해골 종족 +40%, 강화 성공률 +5%",순례자의 길
2604,순찰대 경갑,대장장이 특제품,C,60,"HP:550, AD_DEF:55, AP_DEF:40","이동속도 +15%, 기습 피해 -20%",순찰대 본부
2605,농부의 튼튼한 장갑,대장장이 특제품,D,65,"HP:200, AD_DEF:50, AP_DEF:30","채집 속도 +30%, 가시/독 면역",농업 마을
1606,마을 수비대 창,대장장이 특제품,C,65,ATK:125,"선공권 +20%, 방어 태세 시 반격",마을 수비대
1607,대량생산 군용검,대장장이 특제품,D,70,ATK:135,"수리 가능 횟수 무제한, 강화 +1 기본",군수공장
2606,대장장이의 앞치마,대장장이 특제품,C,70,"HP:600, AD_DEF:65, AP_DEF:45","화염 저항 +40%, 제작 성공률 +10%",마스터 대장장이
2607,병사의 군화,대장장이 특제품,D,75,"HP:350, AD_DEF:55, AP_DEF:35","행군 속도 +25%, 피로도 감소",군수공장
1608,노련한 모험가의 검,대장장이 특제품,C,75,ATK:160,"던전 탐색 속도 +20%, 함정 감지",모험가 길드 (고랭크)
2608,베테랑 수호자 갑옷,대장장이 특제품,C,80,"HP:750, AD_DEF:80, AP_DEF:55","아군 보호 시 피해 -20%, 도발 효과",수호자 길드
